Year,City,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2009","Atlanta, GA","552,901","6,359","80","135","2,725","3,419","34,349","9,112","19,511","5,726","1,150.1","14.5","24.4","492.9","618.4","6,212.5","1,648.0","3,528.8","1,035.6"
"2010","Atlanta, GA","420,003","5,749","93","89","2,162","3,405","30,800","8,016","17,741","5,043","1,368.8","22.1","21.2","514.8","810.7","7,333.3","1,908.6","4,224.0","1,200.7"
"2011","Atlanta, GA","425,533","6,097","88","148","2,343","3,518","30,144","7,499","17,274","5,371","1,432.8","20.7","34.8","550.6","826.7","7,083.8","1,762.3","4,059.4","1,262.2"
"2012","Atlanta, GA","437,041","6,027","83","113","2,276","3,555","28,554","6,192","17,212","5,150","1,379.0","19.0","25.9","520.8","813.4","6,533.5","1,416.8","3,938.3","1,178.4"
"2013","Atlanta, GA","451,020","5,516","83","105","2,363","2,965","27,528","5,938","17,158","4,432","1,223.0","18.4","23.3","523.9","657.4","6,103.5","1,316.6","3,804.3","982.7"
"2014","Atlanta, GA","454,363","5,577","93","151","2,329","3,004","26,114","5,470","16,498","4,146","1,227.4","20.5","33.2","512.6","661.1","5,747.4","1,203.9","3,631.0","912.5"
"2001","Fort Wayne, IN","206,886","1,072","23","92","609","348","12,219","2,013","9,016","1,190","518.2","11.1","44.5","294.4","168.2","5,906.2","973.0","4,358.0","575.2"
"2002","Fort Wayne, IN","208,386","846","24","113","454","255","11,306","2,030","8,268","1,008","406.0","11.5","54.2","217.9","122.4","5,425.5","974.2","3,967.6","483.7"
"2003","Fort Wayne, IN","211,317","772","19","118","354","281","11,113","2,188","8,145","780","365.3","9.0","55.8","167.5","133.0","5,258.9","1,035.4","3,854.4","369.1"
"2004","Fort Wayne, IN","220,980","657","22","96","305","234","10,863","2,073","7,989","801","297.3","10.0","43.4","138.0","105.9","4,915.8","938.1","3,615.3","362.5"
"2005","Fort Wayne, IN","220,561","732","25","84","375","248","10,732","2,233","7,841","658","331.9","11.3","38.1","170.0","112.4","4,865.8","1,012.4","3,555.0","298.3"
"2006","Fort Wayne, IN","224,820","708","18","80","404","206","10,767","2,128","7,934","705","314.9","8.0","35.6","179.7","91.6","4,789.2","946.5","3,529.0","313.6"
"2007","Fort Wayne, IN","248,423","762","24","85","407","246","10,083","2,129","7,312","642","306.7","9.7","34.2","163.8","99.0","4,058.8","857.0","2,943.4","258.4"
"2008","Fort Wayne, IN","251,194","816","25","96","479","216","10,314","2,410","7,238","666","324.8","10.0","38.2","190.7","86.0","4,106.0","959.4","2,881.4","265.1"
"2009","Fort Wayne, IN","251,584","876","18","75","485","298","9,379","2,269","6,683","427","348.2","7.2","29.8","192.8","118.4","3,728.0","901.9","2,656.4","169.7"
"2010","Fort Wayne, IN","253,691","746","23","96","314","313","8,860","2,140","6,433","287","294.1","9.1","37.8","123.8","123.4","3,492.4","843.5","2,535.8","113.1"
"2011","Fort Wayne, IN","254,987","785","24","94","310","357","9,036","1,888","6,768","380","307.9","9.4","36.9","121.6","140.0","3,543.7","740.4","2,654.3","149.0"
"2012","Fort Wayne, IN","256,625","931","22","93","447","369","9,515","2,025","7,073","417","362.8","8.6","36.2","174.2","143.8","3,707.7","789.1","2,756.2","162.5"
"2013","Fort Wayne, IN","254,820","951","33","95","447","376","9,807","2,396","7,025","386","373.2","13.0","37.3","175.4","147.6","3,848.6","940.3","2,756.8","151.5"
"2014","Fort Wayne, IN","257,172","816","12","104","347","353","8,352","1,765","6,223","364","317.3","4.7","40.4","134.9","137.3","3,247.6","686.3","2,419.8","141.5"
"2001","Wichita, KS","345,081","2,443","17","183","742","1,501","21,118","4,422","14,953","1,743","707.9","4.9","53.0","215.0","435.0","6,119.7","1,281.4","4,333.2","505.1"
"2002","Wichita, KS","347,801","2,368","20","208","796","1,344","21,736","4,459","15,523","1,754","680.8","5.8","59.8","228.9","386.4","6,249.6","1,282.1","4,463.2","504.3"
"2003","Wichita, KS","356,123","2,229","18","220","556","1,435","19,651","3,843","14,362","1,446","625.9","5.1","61.8","156.1","403.0","5,518.0","1,079.1","4,032.9","406.0"
"2004","Wichita, KS","356,179","2,887","29","241","627","1,990","21,668","3,939","15,949","1,780","810.5","8.1","67.7","176.0","558.7","6,083.5","1,105.9","4,477.8","499.7"
"2005","Wichita, KS","355,011","2,630","12","180","496","1,942","16,683","3,491","11,470","1,722","740.8","3.4","50.7","139.7","547.0","4,699.3","983.3","3,230.9","485.1"
"2006","Wichita, KS","357,372","3,325","26","245","520","2,534","19,628","3,810","13,837","1,981","930.4","7.3","68.6","145.5","709.1","5,492.3","1,066.1","3,871.9","554.3"
"2007","Wichita, KS","358,294","3,391","40","278","557","2,516","20,797","4,362","14,296","2,139","946.4","11.2","77.6","155.5","702.2","5,804.5","1,217.4","3,990.0","597.0"
"2008","Wichita, KS","362,602","3,097","30","282","482","2,303","20,078","4,081","14,132","1,865","854.1","8.3","77.8","132.9","635.1","5,537.2","1,125.5","3,897.4","514.3"
"2009","Wichita, KS","367,635","3,255","25","262","527","2,441","19,656","4,054","13,928","1,674","885.4","6.8","71.3","143.3","664.0","5,346.6","1,102.7","3,788.5","455.3"
"2010","Wichita, KS","382,368","3,038","16","251","481","2,290","18,300","4,248","12,515","1,537","794.5","4.2","65.6","125.8","598.9","4,786.0","1,111.0","3,273.0","402.0"
"2011","Wichita, KS","384,796","2,950","25","238","490","2,197","19,456","4,005","13,550","1,901","766.6","6.5","61.9","127.3","571.0","5,056.2","1,040.8","3,521.3","494.0"
"2012","Wichita, KS","386,409","2,869","23","228","495","2,123","21,070","3,919","15,331","1,820","742.5","6.0","59.0","128.1","549.4","5,452.8","1,014.2","3,967.6","471.0"
"2013","Wichita, KS","386,486","3,069","15","250","467","2,337","20,860","3,941","14,930","1,989","794.1","3.9","64.7","120.8","604.7","5,397.3","1,019.7","3,863.0","514.6"
"2014","Wichita, KS","387,493","2,939","21","243","496","2,179","18,301","3,264","13,006","2,031","758.5","5.4","62.7","128.0","562.3","4,722.9","842.3","3,356.4","524.1"
"2001","New Orleans, LA","484,289","5,877","213","209","2,778","2,677","30,180","5,262","16,187","8,731","1,213.5","44.0","43.2","573.6","552.8","6,231.8","1,086.5","3,342.4","1,802.8"
"2002","New Orleans, LA","486,157","4,556","258","162","1,994","2,142","26,650","4,759","14,325","7,566","937.1","53.1","33.3","410.2","440.6","5,481.8","978.9","2,946.6","1,556.3"
"2003","New Orleans, LA","475,128","4,596","274","213","2,071","2,038","24,477","4,879","12,726","6,872","967.3","57.7","44.8","435.9","428.9","5,151.7","1,026.9","2,678.4","1,446.3"
"2004","New Orleans, LA","471,057","4,467","264","189","1,836","2,178","24,316","5,238","12,544","6,534","948.3","56.0","40.1","389.8","462.4","5,162.0","1,112.0","2,662.9","1,387.1"
"2005","New Orleans, LA","463,072","2,086","134","89","756","1,107","10,612","2,277","5,823","2,512","","","","","","","","",""
"2006","New Orleans, LA","431,153","2,255","162","87","761","1,245","12,178","4,087","5,228","2,863","523.0","37.6","20.2","176.5","288.8","2,824.5","947.9","1,212.6","664.0"
"2007","New Orleans, LA","220,614","3,451","209","115","1,154","1,973","15,583","5,039","7,354","3,190","1,564.3","94.7","52.1","523.1","894.3","7,063.5","2,284.1","3,333.4","1,446.0"
"2008","New Orleans, LA","281,440","2,869","179","65","1,085","1,540","14,880","4,591","7,081","3,208","1,019.4","63.6","23.1","385.5","547.2","5,287.1","1,631.3","2,516.0","1,139.9"
"2009","New Orleans, LA","336,425","2,614","174","98","932","1,410","12,940","3,821","6,507","2,612","777.0","51.7","29.1","277.0","419.1","3,846.3","1,135.8","1,934.2","776.4"
"2010","New Orleans, LA","343,829","2,593","175","144","953","1,321","12,645","3,695","6,540","2,410","754.2","50.9","41.9","277.2","384.2","3,677.7","1,074.7","1,902.1","700.9"
"2011","New Orleans, LA","346,974","2,748","200","163","1,059","1,326","14,013","3,857","7,616","2,540","792.0","57.6","47.0","305.2","382.2","4,038.6","1,111.6","2,195.0","732.0"
"2012","New Orleans, LA","362,874","2,958","193","136","1,065","1,564","13,689","3,423","8,051","2,215","815.2","53.2","37.5","293.5","431.0","3,772.4","943.3","2,218.7","610.4"
"2013","New Orleans, LA","377,022","2,965","156","176","1,138","1,495","14,525","3,203","9,179","2,143","786.4","41.4","46.7","301.8","396.5","3,852.6","849.6","2,434.6","568.4"
"2014","New Orleans, LA","387,113","3,770","150","244","1,470","1,906","16,382","3,458","10,309","2,615","973.9","38.7","63.0","379.7","492.4","4,231.8","893.3","2,663.0","675.5"
"2001","Minneapolis, MN","386,726","4,101","43","399","1,943","1,716","22,719","4,092","14,548","4,079","1,060.4","11.1","103.2","502.4","443.7","5,874.7","1,058.1","3,761.8","1,054.8"
"2002","Minneapolis, MN","390,415","4,123","47","362","1,794","1,920","22,507","4,433","14,641","3,433","1,056.1","12.0","92.7","459.5","491.8","5,764.9","1,135.5","3,750.1","879.3"
"2003","Minneapolis, MN","378,602","4,517","46","384","2,192","1,895","20,405","4,482","12,404","3,519","1,193.1","12.1","101.4","579.0","500.5","5,389.6","1,183.8","3,276.3","929.5"
"2004","Minneapolis, MN","376,255","4,726","53","389","2,248","2,036","20,238","4,764","11,823","3,651","1,256.1","14.1","103.4","597.5","541.1","5,378.8","1,266.2","3,142.3","970.4"
"2005","Minneapolis, MN","376,277","6,405","47","395","3,165","2,798","22,648","5,618","13,102","3,928","1,702.2","12.5","105.0","841.1","743.6","6,019.0","1,493.0","3,482.0","1,043.9"
"2006","Minneapolis, MN","375,302","6,374","57","453","3,028","2,836","22,561","5,826","13,110","3,625","1,698.4","15.2","120.7","806.8","755.7","6,011.4","1,552.3","3,493.2","965.9"
"2007","Minneapolis, MN","371,240","5,580","47","452","2,520","2,561","22,543","6,164","13,203","3,176","1,503.1","12.7","121.8","678.8","689.9","6,072.4","1,660.4","3,556.5","855.5"
"2008","Minneapolis, MN","376,753","4,779","37","367","2,005","2,370","20,777","5,591","12,776","2,410","1,268.5","9.8","97.4","532.2","629.1","5,514.8","1,484.0","3,391.1","639.7"
"2009","Minneapolis, MN","382,618","4,242","18","413","1,663","2,148","17,859","4,741","11,320","1,798","1,108.7","4.7","107.9","434.6","561.4","4,667.6","1,239.1","2,958.6","469.9"
"2010","Minneapolis, MN","382,578","4,064","37","438","1,596","1,993","18,299","4,787","11,609","1,903","1,062.3","9.7","114.5","417.2","520.9","4,783.1","1,251.2","3,034.4","497.4"
"2011","Minneapolis, MN","385,531","3,722","32","386","1,589","1,715","19,190","5,104","12,311","1,775","965.4","8.3","100.1","412.2","444.8","4,977.6","1,323.9","3,193.3","460.4"
"2012","Minneapolis, MN","390,240","3,872","39","403","1,719","1,711","19,359","4,782","12,760","1,817","992.2","10.0","103.3","440.5","438.4","4,960.8","1,225.4","3,269.8","465.6"
"2013","Minneapolis, MN","396,206","4,038","36","385","1,856","1,761","19,358","4,601","13,182","1,575","1,019.2","9.1","97.2","468.4","444.5","4,885.8","1,161.3","3,327.1","397.5"
"2014","Minneapolis, MN","404,461","4,093","31","389","1,871","1,802","19,123","4,112","13,480","1,531","1,012.0","7.7","96.2","462.6","445.5","4,728.0","1,016.7","3,332.8","378.5"
"2001","St. Paul, MN","290,234","2,236","9","221","680","1,326","16,810","3,009","11,457","2,344","770.4","3.1","76.1","234.3","456.9","5,791.9","1,036.7","3,947.5","807.6"
"2002","St. Paul, MN","293,002","2,359","13","192","973","1,181","15,444","3,232","10,041","2,171","805.1","4.4","65.5","332.1","403.1","5,271.0","1,103.1","3,426.9","741.0"
"2003","St. Paul, MN","286,281","2,178","20","217","638","1,303","13,540","3,074","8,376","2,090","760.8","7.0","75.8","222.9","455.1","4,729.6","1,073.8","2,925.8","730.1"
"2004","St. Paul, MN","282,709","2,408","20","219","678","1,491","13,036","3,210","7,882","1,944","851.8","7.1","77.5","239.8","527.4","4,611.1","1,135.4","2,788.0","687.6"
"2005","St. Paul, MN","278,692","2,443","24","220","778","1,421","13,693","3,484","7,761","2,448","876.6","8.6","78.9","279.2","509.9","4,913.3","1,250.1","2,784.8","878.4"
"2006","St. Paul, MN","276,989","2,466","17","197","849","1,403","12,103","3,349","6,616","2,138","890.3","6.1","71.1","306.5","506.5","4,369.5","1,209.1","2,388.5","771.9"
"2007","St. Paul, MN","271,662","2,327","14","173","777","1,363","11,118","2,696","6,346","2,076","856.6","5.2","63.7","286.0","501.7","4,092.6","992.4","2,336.0","764.2"
"2008","St. Paul, MN","276,083","2,199","18","147","765","1,269","11,524","2,936","6,770","1,818","796.5","6.5","53.2","277.1","459.6","4,174.1","1,063.4","2,452.2","658.5"
"2009","St. Paul, MN","280,194","2,137","13","165","694","1,265","11,431","2,929","6,713","1,789","762.7","4.6","58.9","247.7","451.5","4,079.7","1,045.3","2,395.8","638.5"
"2010","St. Paul, MN","285,461","2,112","16","183","665","1,248","11,756","2,883","6,820","2,053","739.9","5.6","64.1","233.0","437.2","4,118.3","1,009.9","2,389.1","719.2"
"2011","St. Paul, MN","287,665","1,885","8","169","604","1,104","11,932","3,197","6,890","1,845","655.3","2.8","58.7","210.0","383.8","4,147.9","1,111.4","2,395.1","641.4"
"2012","St. Paul, MN","290,700","2,101","13","168","658","1,262","11,893","3,150","6,938","1,805","722.7","4.5","57.8","226.4","434.1","4,091.2","1,083.6","2,386.7","620.9"
"2013","St. Paul, MN","294,690","2,200","14","218","716","1,252","10,973","2,769","6,443","1,761","746.5","4.8","74.0","243.0","424.9","3,723.6","939.6","2,186.4","597.6"
"2014","St. Paul, MN","297,984","1,974","11","181","654","1,128","10,383","2,330","6,045","2,008","662.5","3.7","60.7","219.5","378.5","3,484.4","781.9","2,028.6","673.9"
"2001","St. Louis, MO","350,336","7,664","148","120","3,140","4,256","44,971","8,128","28,000","8,843","2,187.6","42.2","34.3","896.3","1,214.8","12,836.5","2,320.1","7,992.3","2,524.1"
"2002","St. Louis, MO","353,004","7,499","111","136","2,818","4,434","42,930","7,059","26,036","9,835","2,124.3","31.4","38.5","798.3","1,256.1","12,161.3","1,999.7","7,375.6","2,786.1"
"2003","St. Louis, MO","340,256","7,424","74","81","2,786","4,483","44,870","6,978","25,926","11,966","2,181.9","21.7","23.8","818.8","1,317.5","13,187.1","2,050.8","7,619.6","3,516.8"
"2004","St. Louis, MO","335,143","6,957","113","171","2,632","4,041","38,804","6,300","23,592","8,912","2,075.8","33.7","51.0","785.3","1,205.8","11,578.3","1,879.8","7,039.4","2,659.2"
"2005","St. Louis, MO","346,005","8,323","131","276","2,965","4,951","38,245","7,213","22,886","8,146","2,405.5","37.9","79.8","856.9","1,430.9","11,053.3","2,084.7","6,614.4","2,354.3"
"2006","St. Louis, MO","346,879","8,605","129","337","3,147","4,992","40,707","8,510","23,552","8,645","2,480.7","37.2","97.2","907.2","1,439.1","11,735.2","2,453.3","6,789.7","2,492.2"
"2007","St. Louis, MO","348,197","7,654","138","255","2,761","4,500","33,901","7,289","20,330","6,282","2,198.2","39.6","73.2","792.9","1,292.4","9,736.2","2,093.4","5,838.6","1,804.2"
"2008","St. Louis, MO","356,204","7,383","167","237","2,634","4,345","30,443","7,274","17,328","5,841","2,072.7","46.9","66.5","739.5","1,219.8","8,546.5","2,042.1","4,864.6","1,639.8"
"2009","St. Louis, MO","355,208","7,353","143","250","2,721","4,239","29,595","6,834","17,799","4,962","2,070.1","40.3","70.4","766.0","1,193.4","8,331.7","1,923.9","5,010.9","1,396.9"
"2010","St. Louis, MO","319,294","6,205","144","188","2,125","3,748","27,324","6,705","16,356","4,263","1,943.4","45.1","58.9","665.5","1,173.8","8,557.6","2,099.9","5,122.6","1,335.1"
"2011","St. Louis, MO","320,454","5,950","113","188","2,127","3,522","25,669","7,015","15,285","3,369","1,856.7","35.3","58.7","663.7","1,099.1","8,010.2","2,189.1","4,769.8","1,051.3"
"2012","St. Louis, MO","318,667","5,661","113","199","1,778","3,571","21,995","4,986","13,520","3,489","1,776.5","35.5","62.4","557.9","1,120.6","6,902.2","1,564.6","4,242.7","1,094.9"
"2013","St. Louis, MO","318,563","5,077","120","333","1,457","3,167","21,087","4,305","13,452","3,330","1,593.7","37.7","104.5","457.4","994.2","6,619.4","1,351.4","4,222.7","1,045.3"
"2014","St. Louis, MO","318,574","5,348","159","279","1,562","3,348","19,919","4,209","12,463","3,247","1,678.7","49.9","87.6","490.3","1,050.9","6,252.6","1,321.2","3,912.1","1,019.2"
"2001","Greensboro, NC","227,700","1,869","20","89","896","864","14,093","3,258","9,871","964","820.8","8.8","39.1","393.5","379.4","6,189.3","1,430.8","4,335.1","423.4"
"2002","Greensboro, NC","231,424","1,639","28","103","702","806","13,489","2,946","9,392","1,151","708.2","12.1","44.5","303.3","348.3","5,828.7","1,273.0","4,058.4","497.4"
"2003","Greensboro, NC","230,606","1,547","36","97","697","717","13,758","3,255","9,455","1,048","670.8","15.6","42.1","302.2","310.9","5,966.0","1,411.5","4,100.1","454.5"
"2004","Greensboro, NC","232,761","1,711","14","104","802","791","13,754","3,441","9,232","1,081","735.1","6.0","44.7","344.6","339.8","5,909.1","1,478.3","3,966.3","464.4"
"2005","Greensboro, NC","235,393","1,941","30","85","787","1,039","14,360","3,954","9,198","1,208","824.6","12.7","36.1","334.3","441.4","6,100.4","1,679.7","3,907.5","513.2"
"2006","Greensboro, NC","236,591","2,062","27","86","901","1,048","14,336","4,129","9,000","1,207","871.5","11.4","36.3","380.8","443.0","6,059.4","1,745.2","3,804.0","510.2"
"2007","Greensboro, NC","238,122","2,312","40","94","942","1,236","14,778","4,704","8,943","1,131","970.9","16.8","39.5","395.6","519.1","6,206.1","1,975.5","3,755.6","475.0"
"2008","Greensboro, NC","249,561","2,157","24","109","998","1,026","15,809","4,942","9,759","1,108","864.3","9.6","43.7","399.9","411.1","6,334.7","1,980.3","3,910.5","444.0"
"2009","Greensboro, NC","253,191","1,940","24","76","908","932","15,303","4,789","9,668","846","766.2","9.5","30.0","358.6","368.1","6,044.1","1,891.5","3,818.5","334.1"
"2010","Greensboro, NC","269,666","1,512","20","56","626","810","13,776","4,221","8,755","800","560.7","7.4","20.8","232.1","300.4","5,108.5","1,565.3","3,246.6","296.7"
"2011","Greensboro, NC","273,086","1,427","34","72","559","762","12,417","3,617","8,058","742","","","","","","","","",""
"2012","Greensboro, NC","276,134","1,555","21","70","556","908","12,064","3,345","8,153","566","563.1","7.6","25.4","201.4","328.8","4,368.9","1,211.4","2,952.6","205.0"
"2013","Greensboro, NC","279,343","1,449","27","70","496","856","11,537","2,972","8,063","502","518.7","9.7","25.1","177.6","306.4","4,130.0","1,063.9","2,886.4","179.7"
"2014","Greensboro, NC","282,203","1,346","23","52","487","784","10,160","2,508","7,119","533","477.0","8.2","18.4","172.6","277.8","3,600.2","888.7","2,522.7","188.9"
"2001","Raleigh, NC","280,791","2,187","10","91","804","1,282","16,398","3,983","11,087","1,328","778.9","3.6","32.4","286.3","456.6","5,839.9","1,418.5","3,948.5","472.9"
"2002","Raleigh, NC","285,383","1,966","19","106","697","1,144","15,867","3,836","10,692","1,339","688.9","6.7","37.1","244.2","400.9","5,559.9","1,344.2","3,746.5","469.2"
"2003","Raleigh, NC","310,157","2,004","14","81","748","1,161","14,771","3,327","10,186","1,258","646.1","4.5","26.1","241.2","374.3","4,762.4","1,072.7","3,284.1","405.6"
"2004","Raleigh, NC","321,850","1,867","16","99","661","1,091","12,126","2,576","8,523","1,027","580.1","5.0","30.8","205.4","339.0","3,767.6","800.4","2,648.1","319.1"
"2005","Raleigh, NC","332,084","2,051","20","88","762","1,181","12,528","3,040","8,480","1,008","617.6","6.0","26.5","229.5","355.6","3,772.5","915.4","2,553.6","303.5"
"2006","Raleigh, NC","348,345","2,223","19","97","782","1,325","12,650","2,978","8,666","1,006","638.2","5.5","27.8","224.5","380.4","3,631.5","854.9","2,487.8","288.8"
"2007","Raleigh, NC","367,120","2,098","23","99","835","1,141","12,762","2,949","8,773","1,040","571.5","6.3","27.0","227.4","310.8","3,476.2","803.3","2,389.7","283.3"
"2008","Raleigh, NC","388,661","2,245","34","95","1,025","1,091","13,220","3,095","9,178","947","577.6","8.7","24.4","263.7","280.7","3,401.4","796.3","2,361.4","243.7"
"2009","Raleigh, NC","406,005","2,001","14","99","832","1,056","13,817","3,187","9,834","796","492.9","3.4","24.4","204.9","260.1","3,403.2","785.0","2,422.1","196.1"
"2010","Raleigh, NC","403,892","1,740","14","99","643","984","12,995","3,021","9,104","870","430.8","3.5","24.5","159.2","243.6","3,217.4","748.0","2,254.1","215.4"
"2011","Raleigh, NC","409,014","1,724","17","127","680","900","13,242","2,985","9,343","914","421.5","4.2","31.1","166.3","220.0","3,237.5","729.8","2,284.3","223.5"
"2012","Raleigh, NC","420,594","1,780","17","113","665","985","13,779","3,036","9,812","931","423.2","4.0","26.9","158.1","234.2","3,276.1","721.8","2,332.9","221.4"
"2013","Raleigh, NC","428,993","1,683","12","79","605","987","13,140","3,157","9,278","705","392.3","2.8","18.4","141.0","230.1","3,063.0","735.9","2,162.7","164.3"
"2014","Raleigh, NC","438,363","667","8","34","231","394","4,516","973","3,284","259","","","","","","","","",""
"2001","Lincoln, NE","225,841","1,302","6","88","154","1,054","13,739","1,970","11,194","575","576.5","2.7","39.0","68.2","466.7","6,083.5","872.3","4,956.6","254.6"
"2002","Lincoln, NE","227,943","1,275","6","98","179","992","13,730","2,014","11,190","526","559.4","2.6","43.0","78.5","435.2","6,023.4","883.6","4,909.1","230.8"
"2003","Lincoln, NE","233,721","1,114","5","94","153","862","13,487","1,959","11,049","479","476.6","2.1","40.2","65.5","368.8","5,770.6","838.2","4,727.4","204.9"
"2004","Lincoln, NE","236,667","1,236","6","131","193","906","13,160","1,899","10,826","435","522.3","2.5","55.4","81.5","382.8","5,560.6","802.4","4,574.4","183.8"
"2005","Lincoln, NE","237,710","1,364","4","112","225","1,023","12,703","1,893","10,388","422","573.8","1.7","47.1","94.7","430.4","5,343.9","796.3","4,370.0","177.5"
"2006","Lincoln, NE","240,511","1,256","5","100","162","989","12,237","1,922","9,884","431","522.2","2.1","41.6","67.4","411.2","5,087.9","799.1","4,109.6","179.2"
"2007","Lincoln, NE","243,243","1,325","6","113","173","1,033","11,755","1,904","9,428","423","544.7","2.5","46.5","71.1","424.7","4,832.6","782.8","3,876.0","173.9"
"2008","Lincoln, NE","251,550","1,282","4","113","213","952","10,168","1,569","8,251","348","509.6","1.6","44.9","84.7","378.5","4,042.1","623.7","3,280.1","138.3"
"2009","Lincoln, NE","254,438","1,166","5","126","197","838","10,007","1,618","8,095","294","458.3","2.0","49.5","77.4","329.4","3,933.0","635.9","3,181.5","115.5"
"2010","Lincoln, NE","258,379","1,258","2","143","182","931","10,218","1,464","8,406","348","486.9",".8","55.3","70.4","360.3","3,954.7","566.6","3,253.4","134.7"
"2011","Lincoln, NE","260,685","966","4","166","177","619","10,189","1,401","8,424","364","370.6","1.5","63.7","67.9","237.5","3,908.5","537.4","3,231.5","139.6"
"2012","Lincoln, NE","264,175","1,050","3","182","197","668","10,171","1,616","8,244","311","397.5","1.1","68.9","74.6","252.9","3,850.1","611.7","3,120.7","117.7"
"2013","Lincoln, NE","267,565","990","5","142","212","631","9,354","1,423","7,625","306","370.0","1.9","53.1","79.2","235.8","3,496.0","531.8","2,849.8","114.4"
"2014","Lincoln, NE","271,208","918","7","152","205","554","9,082","1,305","7,452","325","338.5","2.6","56.0","75.6","204.3","3,348.7","481.2","2,747.7","119.8"
"2001","Omaha, NE","390,456","2,708","25","157","868","1,658","26,799","3,107","19,382","4,310","693.5","6.4","40.2","222.3","424.6","6,863.5","795.7","4,963.9","1,103.8"
"2002","Omaha, NE","394,090","2,829","26","173","998","1,632","25,952","3,220","18,490","4,242","717.9","6.6","43.9","253.2","414.1","6,585.3","817.1","4,691.8","1,076.4"
"2003","Omaha, NE","401,692","2,627","35","179","896","1,517","24,512","3,449","16,869","4,194","654.0","8.7","44.6","223.1","377.7","6,102.2","858.6","4,199.5","1,044.1"
"2004","Omaha, NE","406,109","2,608","20","187","824","1,577","22,536","3,641","15,490","3,405","642.2","4.9","46.0","202.9","388.3","5,549.2","896.6","3,814.2","838.4"
"2005","Omaha, NE","412,128","2,327","31","199","682","1,415","22,056","3,164","15,079","3,813","564.6","7.5","48.3","165.5","343.3","5,351.7","767.7","3,658.8","925.2"
"2006","Omaha, NE","416,770","2,505","33","187","848","1,437","21,787","3,172","15,172","3,443","601.1","7.9","44.9","203.5","344.8","5,227.6","761.1","3,640.4","826.1"
"2007","Omaha, NE","431,810","2,578","42","189","818","1,529","20,657","3,345","13,876","3,436","597.0","9.7","43.8","189.4","354.1","4,783.8","774.6","3,213.5","795.7"
"2008","Omaha, NE","437,238","2,648","44","180","949","1,475","18,792","3,175","12,892","2,725","605.6","10.1","41.2","217.0","337.3","4,297.9","726.1","2,948.5","623.2"
"2009","Omaha, NE","443,037","2,363","30","192","892","1,249","18,291","3,228","12,938","2,125","533.4","6.8","43.3","201.3","281.9","4,128.5","728.6","2,920.3","479.6"
"2010","Omaha, NE","408,958","2,274","34","205","723","1,312","17,334","3,046","12,091","2,197","556.0","8.3","50.1","176.8","320.8","4,238.6","744.8","2,956.5","537.2"
"2011","Omaha, NE","412,608","2,309","43","220","696","1,350","18,764","3,321","12,793","2,650","559.6","10.4","53.3","168.7","327.2","4,547.7","804.9","3,100.5","642.3"
"2012","Omaha, NE","417,970","2,485","41","187","815","1,442","19,178","3,311","13,120","2,747","594.5","9.8","44.7","195.0","345.0","4,588.4","792.2","3,139.0","657.2"
"2013","Omaha, NE","425,076","2,449","42","184","718","1,505","19,108","3,509","12,519","3,080","576.1","9.9","43.3","168.9","354.1","4,495.2","825.5","2,945.1","724.6"
"2014","Omaha, NE","438,465","2,458","32","180","723","1,523","19,053","2,997","12,910","3,146","560.6","7.3","41.1","164.9","347.3","4,345.4","683.5","2,944.4","717.5"
"2001","Jersey City, NJ","242,055","2,853","25","89","1,301","1,438","9,674","2,350","4,911","2,413","1,178.7","10.3","36.8","537.5","594.1","3,996.6","970.9","2,028.9","996.9"
"2002","Jersey City, NJ","245,075","2,907","21","86","1,381","1,419","9,275","2,285","4,694","2,296","1,186.2","8.6","35.1","563.5","579.0","3,784.6","932.4","1,915.3","936.9"
"2003","Jersey City, NJ","241,443","2,888","24","59","1,416","1,389","8,814","2,191","4,564","2,059","1,196.1","9.9","24.4","586.5","575.3","3,650.6","907.5","1,890.3","852.8"
"2004","Jersey City, NJ","240,773","2,894","23","71","1,418","1,382","8,217","2,044","4,445","1,728","1,202.0","9.6","29.5","588.9","574.0","3,412.8","848.9","1,846.1","717.7"
"2005","Jersey City, NJ","239,603","3,136","38","43","1,642","1,413","8,729","2,216","4,658","1,855","1,308.8","15.9","17.9","685.3","589.7","3,643.1","924.9","1,944.0","774.2"
"2006","Jersey City, NJ","239,794","2,890","22","60","1,553","1,255","7,590","1,670","4,425","1,495","1,205.2","9.2","25.0","647.6","523.4","3,165.2","696.4","1,845.3","623.5"
"2007","Jersey City, NJ","240,718","2,421","20","47","1,248","1,106","6,804","1,504","4,082","1,218","1,005.7","8.3","19.5","518.4","459.5","2,826.5","624.8","1,695.8","506.0"
"2008","Jersey City, NJ","241,588","2,280","25","49","1,252","954","7,461","1,869","4,426","1,166","943.8","10.3","20.3","518.2","394.9","3,088.3","773.6","1,832.0","482.6"
"2009","Jersey City, NJ","240,858","1,791","28","49","871","843","5,984","1,400","3,744","840","743.6","11.6","20.3","361.6","350.0","2,484.5","581.3","1,554.4","348.8"
