"Year","City","Violent Crime Total","Murder and Nonnegligent Manslaughter","Rape","Robbery","Aggravated Assault","Property Crime Total","Burglary","Larceny-Theft","Motor Vehicle Theft"
"2005","Colorado Springs, CO","699","5","47","122","525","4,193","3,400","297"
"2006","Colorado Springs, CO","746","17","49","163","517","3,413","2,736","255"
"2007","Colorado Springs, CO","718","16","41","145","516","3,857","3,210","199"
"2008","Colorado Springs, CO","707","19","50","159","479","3,925","3,369","148"
"2009","Colorado Springs, CO","707","16","54","145","492","3,668","3,163","138"
"2010","Colorado Springs, CO"
"2011","Colorado Springs, CO","744","20","41","148","535","3,526","3,053","126"
"2012","Colorado Springs, CO","524","17","25","92","390","2,560","2,294","85"
"2013","Colorado Springs, CO","~","18","~","83","463","2,696","2,375","102"
"2014","Colorado Springs, CO","~","16","~","79","514","3,880","3,349","199"
"2001","Miami, FL"
"2002","Miami, FL"
"2003","Miami, FL"
"2004","Miami, FL"
"2005","Miami, FL"
"2006","Miami, FL"
"2007","Miami, FL"
"2008","Miami, FL"
"2009","Miami, FL"
"2010","Miami, FL"
"2011","Miami, FL"
"2012","Miami, FL"
"2013","Miami, FL"
"2014","Miami, FL"
"2001","Orlando, FL"
"2002","Orlando, FL"
"2003","Orlando, FL"
"2004","Orlando, FL"
"2005","Orlando, FL"
"2006","Orlando, FL"
"2007","Orlando, FL"
"2008","Orlando, FL"
"2009","Orlando, FL"
"2010","Orlando, FL"
"2011","Orlando, FL"
"2012","Orlando, FL"
"2013","Orlando, FL"
"2014","Orlando, FL"
"2001","Tampa, FL"
"2002","Tampa, FL"
"2003","Tampa, FL"
"2004","Tampa, FL"
"2005","Tampa, FL"
"2006","Tampa, FL"
"2007","Tampa, FL"
"2008","Tampa, FL"
"2009","Tampa, FL"
"2010","Tampa, FL"
"2011","Tampa, FL"
"2012","Tampa, FL"
"2013","Tampa, FL"
"2014","Tampa, FL"
"2001","Jacksonville, FL"
"2002","Jacksonville, FL"
"2003","Jacksonville, FL"
"2004","Jacksonville, FL"
"2005","Jacksonville, FL"
"2006","Jacksonville, FL"
"2007","Jacksonville, FL"
"2008","Jacksonville, FL"
"2009","Jacksonville, FL"
"2010","Jacksonville, FL"
"2011","Jacksonville, FL"
"2012","Jacksonville, FL"
"2013","Jacksonville, FL"
"2014","Jacksonville, FL"
"2001","Atlanta, GA","4,577","99","145","936","3,397","6,581","4,484","753"
"2002","Atlanta, GA","4,008","108","127","943","2,830","6,033","3,994","741"
"2003","Atlanta, GA","2,524","89","103","679","1,653","4,634","3,143","583"
"2004","Atlanta, GA","2,777","87","113","614","1,963","4,395","3,118","519"
"2005","Atlanta, GA","3,823","57","113","864","2,789","5,528","3,667","730"
"2006","Atlanta, GA","3,485","69","98","794","2,524","4,948","3,505","517"
"2007","Atlanta, GA","2,698","80","72","711","1,835","5,009","3,692","469"
"2008","Atlanta, GA"
"2009","Atlanta, GA","2,381","71","39","624","1,647","5,822","4,367","522"
"2010","Atlanta, GA","2,262","83","46","503","1,630","5,037","3,714","417"
"2011","Atlanta, GA","2,228","65","41","491","1,631","4,393","3,153","373"
"2012","Atlanta, GA","2,334","77","34","608","1,615","4,414","3,377","350"
"2013","Atlanta, GA","~","75","~","517","1,347","3,971","3,061","329"
"2014","Atlanta, GA","~","63","~","503","1,183","3,766","3,011","272"
"2001","Honolulu, HI","989","27","104","379","479","5,350","3,865","976"
"2002","Honolulu, HI","1,023","26","113","419","465","5,414","3,736","1,156"
